audio_frame_idx,start_time_sec,end_time_sec,top_class,top_score,avg_score,max_score
0,0.000000,0.480024,Speech,0.969714,0.002131,0.969714
1,0.480024,0.960049,Speech,0.875546,0.002638,0.875546
2,0.960049,1.440073,Speech,0.718224,0.001608,0.718224
3,1.440073,1.920098,Speech,0.994906,0.002062,0.994906
4,1.920098,2.400122,Speech,0.872355,0.002240,0.872355
5,2.400122,2.880147,Speech,0.416650,0.001569,0.416650
6,2.880147,3.360171,Speech,0.922871,0.002052,0.922871
7,3.360171,3.840196,Speech,0.951264,0.001907,0.951264
8,3.840196,4.320220,Speech,0.940560,0.001955,0.940560
9,4.320220,4.800245,Speech,0.739915,0.002142,0.739915
10,4.800245,5.280269,Speech,0.896322,0.002251,0.896322
11,5.280269,5.760294,Speech,0.462870,0.001096,0.462870
12,5.760294,6.240318,Speech,0.680455,0.001710,0.680455
13,6.240318,6.720343,Speech,0.996513,0.001984,0.996513
14,6.720343,7.200367,Speech,0.975311,0.001904,0.975311
15,7.200367,7.680392,Speech,0.868629,0.001912,0.868629
16,7.680392,8.160416,Speech,0.912418,0.002114,0.912418
17,8.160416,8.640441,Speech,0.849304,0.001935,0.849304
18,8.640441,9.120465,Speech,0.965184,0.002115,0.965184
19,9.120465,9.600490,Speech,0.906076,0.001997,0.906076
20,9.600490,10.080514,Speech,0.611343,0.001525,0.611343
21,10.080514,10.560539,Speech,0.960174,0.002016,0.960174
22,10.560539,11.040563,Speech,0.954868,0.001935,0.954868
23,11.040563,11.520588,Speech,0.987575,0.001972,0.987575
24,11.520588,12.000612,Speech,0.924026,0.001953,0.924026
25,12.000612,12.480637,Speech,0.488152,0.001764,0.488152
26,12.480637,12.960661,Speech,0.991957,0.001979,0.991957
27,12.960661,13.440686,Speech,0.983779,0.001973,0.983779
28,13.440686,13.920710,Speech,0.987570,0.001973,0.987570
29,13.920710,14.400735,Speech,0.864982,0.001897,0.864982
30,14.400735,14.880759,Speech,0.587337,0.001932,0.587337
31,14.880759,15.360783,Speech,0.715041,0.001747,0.715041
32,15.360783,15.840808,Speech,0.874884,0.002141,0.874884
33,15.840808,16.320832,Speech,0.913818,0.001924,0.913818
34,16.320832,16.800857,Speech,0.149279,0.000836,0.149279
35,16.800857,17.280881,Speech,0.807311,0.001763,0.807311
36,17.280881,17.760906,Speech,0.949620,0.001946,0.949620
37,17.760906,18.240930,Speech,0.976401,0.002013,0.976401
38,18.240930,18.720955,Speech,0.982650,0.002016,0.982650
39,18.720955,19.200979,Speech,0.993103,0.002041,0.993103
40,19.200979,19.681004,Speech,0.993641,0.002029,0.993641
41,19.681004,20.161028,Speech,0.960286,0.002049,0.960286
42,20.161028,20.641053,Speech,0.896843,0.002090,0.896843
43,20.641053,21.121077,Speech,0.939393,0.002009,0.939393
44,21.121077,21.601102,Speech,0.776347,0.001674,0.776347
45,21.601102,22.081126,Speech,0.361835,0.001120,0.361835
46,22.081126,22.561151,Speech,0.310162,0.002108,0.310162
47,22.561151,23.041175,Speech,0.622400,0.001769,0.622400
48,23.041175,23.521200,Speech,0.657544,0.002030,0.657544
49,23.521200,24.001224,Speech,0.780657,0.001825,0.780657
50,24.001224,24.481249,Speech,0.565114,0.001494,0.565114
51,24.481249,24.961273,Speech,0.521110,0.001471,0.521110
52,24.961273,25.441298,Speech,0.898363,0.001948,0.898363
53,25.441298,25.921322,Speech,0.915303,0.001974,0.915303
54,25.921322,26.401347,Speech,0.165772,0.000814,0.165772
55,26.401347,26.881371,Speech,0.498504,0.001233,0.498504
56,26.881371,27.361396,Speech,0.592645,0.001498,0.592645
57,27.361396,27.841420,Speech,0.282557,0.001089,0.282557
58,27.841420,28.321445,Speech,0.824970,0.001950,0.824970
59,28.321445,28.801469,Speech,0.930387,0.001984,0.930387
60,28.801469,29.281493,Speech,0.700658,0.001520,0.700658
61,29.281493,29.761518,Speech,0.706533,0.002669,0.706533
62,29.761518,30.241542,Speech,0.791087,0.001917,0.791087
63,30.241542,30.721567,Speech,0.643394,0.001903,0.643394
64,30.721567,31.201591,Rail transport,0.136458,0.002160,0.136458
65,31.201591,31.681616,Speech,0.098218,0.001407,0.098218
66,31.681616,32.161640,Speech,0.708022,0.001648,0.708022
67,32.161640,32.641665,Speech,0.781375,0.002126,0.781375
68,32.641665,33.121689,Speech,0.382382,0.001366,0.382382
69,33.121689,33.601714,Speech,0.620546,0.002022,0.620546
70,33.601714,34.081738,Speech,0.576936,0.002414,0.576936
71,34.081738,34.561763,Speech,0.634876,0.001918,0.634876
72,34.561763,35.041787,Speech,0.842589,0.001944,0.842589
73,35.041787,35.521812,Speech,0.976720,0.002035,0.976720
74,35.521812,36.001836,Speech,0.921867,0.002004,0.921867
75,36.001836,36.481861,Speech,0.946692,0.002301,0.946692
76,36.481861,36.961885,Speech,0.986469,0.002156,0.986469
77,36.961885,37.441910,Speech,0.981356,0.002149,0.981356
78,37.441910,37.921934,Speech,0.988651,0.002161,0.988651
79,37.921934,38.401959,Speech,0.665347,0.001372,0.665347
80,38.401959,38.881983,Speech,0.929962,0.001948,0.929962
81,38.881983,39.362008,Speech,0.944061,0.001942,0.944061
82,39.362008,39.842032,Speech,0.864661,0.001831,0.864661
83,39.842032,40.322057,Speech,0.935137,0.002008,0.935137
84,40.322057,40.802081,Speech,0.957362,0.002089,0.957362
85,40.802081,41.282106,Speech,0.988014,0.002015,0.988014
86,41.282106,41.762130,Speech,0.960088,0.002007,0.960088
87,41.762130,42.242155,Speech,0.939207,0.002048,0.939207
88,42.242155,42.722179,Speech,0.859254,0.002534,0.859254
89,42.722179,43.202204,Speech,0.948944,0.002124,0.948944
90,43.202204,43.682228,Speech,0.960313,0.001987,0.960313
91,43.682228,44.162252,Speech,0.990317,0.002115,0.990317
92,44.162252,44.642277,Speech,0.976297,0.002121,0.976297
93,44.642277,45.122301,Speech,0.981044,0.001990,0.981044
94,45.122301,45.602326,Speech,0.791379,0.002101,0.791379
95,45.602326,46.082350,Speech,0.977422,0.002094,0.977422
96,46.082350,46.562375,Speech,0.966877,0.002011,0.966877
97,46.562375,47.042399,Speech,0.806542,0.001996,0.806542
98,47.042399,47.522424,Speech,0.215850,0.001045,0.215850
99,47.522424,48.002448,Speech,0.872793,0.001917,0.872793
100,48.002448,48.482473,Speech,0.927499,0.001935,0.927499
101,48.482473,48.962497,Speech,0.868735,0.001973,0.868735
102,48.962497,49.442522,Speech,0.884695,0.002223,0.884695
103,49.442522,49.922546,Speech,0.793555,0.002134,0.793555
104,49.922546,50.402571,Speech,0.552067,0.001588,0.552067
105,50.402571,50.882595,Speech,0.834244,0.001899,0.834244
106,50.882595,51.362620,Speech,0.703931,0.001594,0.703931
107,51.362620,51.842644,Speech,0.951315,0.002000,0.951315
108,51.842644,52.322669,Speech,0.809164,0.001965,0.809164
109,52.322669,52.802693,Speech,0.290528,0.002087,0.290528
110,52.802693,53.282718,Speech,0.825506,0.001862,0.825506
111,53.282718,53.762742,Speech,0.833081,0.002301,0.833081
112,53.762742,54.242767,Speech,0.948724,0.002125,0.948724
113,54.242767,54.722791,Speech,0.931214,0.002130,0.931214
114,54.722791,55.202816,Speech,0.923174,0.003330,0.923174
115,55.202816,55.682840,Speech,0.553828,0.002778,0.553828
116,55.682840,56.162865,Speech,0.851835,0.001842,0.851835
117,56.162865,56.642889,Speech,0.856714,0.002282,0.856714
118,56.642889,57.122914,Speech,0.195649,0.000792,0.195649
119,57.122914,57.602938,Speech,0.916887,0.002082,0.916887
120,57.602938,58.082963,Speech,0.526255,0.001500,0.526255
121,58.082963,58.562987,Speech,0.461894,0.001620,0.461894
122,58.562987,59.043011,Clip-clop,0.210453,0.002763,0.210453
123,59.043011,59.523036,Speech,0.374033,0.001494,0.374033
124,59.523036,60.003060,Speech,0.893431,0.001904,0.893431
125,60.003060,60.483085,Speech,0.899829,0.001843,0.899829
126,60.483085,60.963109,Speech,0.708446,0.001851,0.708446
127,60.963109,61.443134,"Outside, urban or manmade",0.096083,0.001882,0.096083
128,61.443134,61.923158,Speech,0.112596,0.001570,0.112596
129,61.923158,62.403183,Speech,0.314246,0.001321,0.314246
130,62.403183,62.883207,Speech,0.938692,0.001942,0.938692
131,62.883207,63.363232,Speech,0.940341,0.002000,0.940341
132,63.363232,63.843256,Speech,0.958660,0.001999,0.958660
133,63.843256,64.323281,Speech,0.947015,0.001923,0.947015
134,64.323281,64.803305,Speech,0.952008,0.002018,0.952008
135,64.803305,65.283330,Speech,0.885744,0.001890,0.885744
136,65.283330,65.763354,Speech,0.977752,0.002009,0.977752
137,65.763354,66.243379,Speech,0.918793,0.001839,0.918793
138,66.243379,66.723403,Speech,0.540263,0.001580,0.540263
139,66.723403,67.203428,Speech,0.933510,0.001911,0.933510
140,67.203428,67.683452,Speech,0.838449,0.001813,0.838449
141,67.683452,68.163477,Speech,0.583717,0.001326,0.583717
142,68.163477,68.643501,Speech,0.554315,0.001232,0.554315
143,68.643501,69.123526,Speech,0.614074,0.001434,0.614074
144,69.123526,69.603550,Speech,0.976452,0.001963,0.976452
145,69.603550,70.083575,Speech,0.987023,0.002073,0.987023
146,70.083575,70.563599,Speech,0.885718,0.001868,0.885718
147,70.563599,71.043624,Speech,0.265091,0.000995,0.265091
148,71.043624,71.523648,Speech,0.865986,0.002006,0.865986
149,71.523648,72.003673,Speech,0.844588,0.001745,0.844588
150,72.003673,72.483697,Speech,0.942310,0.001959,0.942310
151,72.483697,72.963721,Speech,0.916741,0.002263,0.916741
152,72.963721,73.443746,Speech,0.971822,0.002019,0.971822
153,73.443746,73.923770,Speech,0.987664,0.002104,0.987664
154,73.923770,74.403795,Speech,0.969405,0.002091,0.969405
155,74.403795,74.883819,Speech,0.989078,0.002045,0.989078
156,74.883819,75.363844,Speech,0.574719,0.001412,0.574719
157,75.363844,75.843868,Speech,0.826682,0.002018,0.826682
158,75.843868,76.323893,Speech,0.823292,0.002179,0.823292
159,76.323893,76.803917,Speech,0.941713,0.002061,0.941713
160,76.803917,77.283942,Speech,0.972855,0.001992,0.972855
161,77.283942,77.763966,Speech,0.936167,0.002180,0.936167
162,77.763966,78.243991,Speech,0.829266,0.001818,0.829266
163,78.243991,78.724015,Speech,0.172680,0.000672,0.172680
164,78.724015,79.204040,Speech,0.848953,0.001897,0.848953
165,79.204040,79.684064,Speech,0.928610,0.002025,0.928610
166,79.684064,80.164089,Speech,0.908694,0.001906,0.908694
167,80.164089,80.644113,Speech,0.960064,0.002039,0.960064
168,80.644113,81.124138,Speech,0.922822,0.002019,0.922822
169,81.124138,81.604162,Speech,0.409468,0.000990,0.409468
170,81.604162,82.084187,Speech,0.301134,0.001006,0.301134
171,82.084187,82.564211,Speech,0.774831,0.001608,0.774831
172,82.564211,83.044236,Speech,0.278758,0.001637,0.278758
173,83.044236,83.524260,Speech,0.828026,0.001903,0.828026
174,83.524260,84.004285,Speech,0.973155,0.002257,0.973155
175,84.004285,84.484309,Speech,0.994285,0.002022,0.994285
176,84.484309,84.964334,Speech,0.994903,0.001977,0.994903
177,84.964334,85.444358,Speech,0.917823,0.002035,0.917823
178,85.444358,85.924383,Speech,0.457675,0.001899,0.457675
179,85.924383,86.404407,Dog,0.380604,0.002674,0.380604
180,86.404407,86.884432,Speech,0.789918,0.001736,0.789918
181,86.884432,87.364456,Speech,0.906811,0.002053,0.906811
182,87.364456,87.844480,Speech,0.913456,0.002010,0.913456
183,87.844480,88.324505,Speech,0.976114,0.002249,0.976114
184,88.324505,88.804529,Speech,0.853469,0.001917,0.853469
185,88.804529,89.284554,Speech,0.413901,0.003341,0.413901
186,89.284554,89.764578,Speech,0.921777,0.002110,0.921777
187,89.764578,90.244603,Speech,0.561855,0.001789,0.561855
188,90.244603,90.724627,Speech,0.742403,0.001791,0.742403
189,90.724627,91.204652,Speech,0.757146,0.001841,0.757146
190,91.204652,91.684676,Music,0.104315,0.000886,0.104315
191,91.684676,92.164701,Speech,0.296463,0.001707,0.296463
192,92.164701,92.644725,Speech,0.498705,0.001372,0.498705
193,92.644725,93.124750,Speech,0.539411,0.001398,0.539411
194,93.124750,93.604774,Speech,0.343221,0.001468,0.343221
195,93.604774,94.084799,Speech,0.495124,0.001403,0.495124
196,94.084799,94.564823,Speech,0.467869,0.001350,0.467869
197,94.564823,95.044848,Speech,0.269547,0.001301,0.269547
