Frame,FrameNum,total_people,front_people,back_people,left_people,right_people
frame_0,0,18,9,4,2,3
frame_1,1,20,7,7,3,3
frame_2,2,21,8,7,2,4
frame_3,3,18,7,5,4,2
frame_4,4,15,6,3,2,4
frame_5,5,16,7,5,2,2
frame_6,6,17,7,4,3,3
frame_7,7,20,7,8,3,2
frame_8,8,16,7,6,1,2
frame_9,9,16,8,4,2,2
frame_10,10,20,10,7,1,2
frame_11,11,17,9,4,2,2
frame_12,12,15,7,4,2,2
frame_13,13,17,7,4,3,3
frame_14,14,20,8,4,6,2
frame_15,15,19,8,5,4,2
frame_16,16,23,8,8,4,3
frame_17,17,16,5,4,3,4
frame_18,18,20,4,10,3,3
frame_19,19,25,7,9,6,3
frame_20,20,22,7,8,5,2
frame_21,21,23,8,9,5,1
frame_22,22,23,8,10,4,1
frame_23,23,22,8,9,4,1
frame_24,24,25,9,12,3,1
frame_25,25,21,8,10,2,1
frame_26,26,21,7,11,2,1
frame_27,27,22,9,9,3,1
frame_28,28,20,9,8,3,0
frame_29,29,27,11,10,6,0
frame_30,30,25,11,11,3,0
frame_31,31,18,7,8,3,0
frame_32,32,23,10,9,2,2
frame_33,33,23,7,11,2,3
frame_34,34,22,6,10,3,3
frame_35,35,22,7,9,2,4
frame_36,36,23,8,10,2,3
frame_37,37,18,4,9,2,3
frame_38,38,23,6,10,2,5
frame_39,39,26,5,13,2,6
frame_40,40,20,6,7,2,5
frame_41,41,21,4,10,2,5
frame_42,42,20,5,9,2,4
frame_43,43,21,5,10,1,5
frame_44,44,27,7,13,1,6
frame_45,45,25,8,12,1,4
frame_46,46,22,6,11,2,3
frame_47,47,25,9,10,2,4
frame_48,48,21,7,10,1,3
frame_49,49,20,6,10,1,3
frame_50,50,19,5,10,1,3
frame_51,51,17,6,8,0,3
frame_52,52,18,7,8,1,2
frame_53,53,17,8,7,0,2
frame_54,54,15,5,8,0,2
frame_55,55,16,5,9,0,2
frame_56,56,16,5,8,1,2
frame_57,57,16,5,8,1,2
frame_58,58,15,5,6,2,2
frame_59,59,16,6,6,2,2
frame_60,60,14,5,5,2,2
frame_61,61,15,6,3,4,2
frame_62,62,16,5,4,4,3
frame_63,63,17,5,7,3,2
frame_64,64,15,6,4,3,2
frame_65,65,18,6,5,5,2
frame_66,66,17,6,4,5,2
frame_67,67,18,7,5,5,1
frame_68,68,16,6,6,3,1
frame_69,69,13,5,5,3,0
frame_70,70,18,6,7,5,0
frame_71,71,17,7,5,5,0
frame_72,72,20,8,6,6,0
frame_73,73,18,7,6,5,0
frame_74,74,16,4,6,6,0
frame_75,75,14,4,6,4,0
frame_76,76,13,4,5,4,0
frame_77,77,14,5,5,4,0
frame_78,78,16,5,7,4,0
frame_79,79,16,6,6,4,0
frame_80,80,16,4,6,6,0
frame_81,81,15,5,4,6,0
frame_82,82,15,5,5,5,0
frame_83,83,15,5,6,4,0
frame_84,84,16,7,5,4,0
frame_85,85,21,7,8,6,0
frame_86,86,22,6,8,8,0
frame_87,87,22,8,6,8,0
frame_88,88,20,6,7,7,0
frame_89,89,18,7,7,4,0
frame_90,90,21,6,8,7,0
frame_91,91,19,8,8,3,0
frame_92,92,19,8,8,3,0
frame_93,93,16,6,7,3,0
frame_94,94,19,9,7,3,0
frame_95,95,19,9,7,3,0
frame_96,96,15,8,5,2,0
frame_97,97,20,9,8,3,0
frame_98,98,17,8,6,3,0
frame_99,99,17,8,6,3,0
frame_100,100,17,8,7,2,0
frame_101,101,18,8,8,2,0
frame_102,102,17,10,5,2,0
frame_103,103,19,11,5,2,1
frame_104,104,20,9,7,4,0
frame_105,105,18,9,7,2,0
frame_106,106,21,12,6,3,0
frame_107,107,21,12,8,1,0
frame_108,108,22,12,7,2,1
frame_109,109,21,12,8,1,0
frame_110,110,20,12,7,1,0
frame_111,111,22,13,7,1,1
frame_112,112,20,11,8,1,0
frame_113,113,17,9,7,1,0
frame_114,114,19,10,7,1,1
frame_115,115,21,13,7,1,0
frame_116,116,21,9,9,1,2
frame_117,117,21,11,7,1,2
frame_118,118,19,8,7,1,3
frame_119,119,20,11,5,1,3
frame_120,120,18,10,4,1,3
frame_121,121,20,12,5,1,2
frame_122,122,20,10,7,1,2
frame_123,123,21,11,6,2,2
frame_124,124,24,11,9,0,4
frame_125,125,23,11,9,0,3
frame_126,126,23,9,10,0,4
frame_127,127,22,11,7,0,4
frame_128,128,26,11,9,2,4
frame_129,129,23,10,8,0,5
frame_130,130,22,10,8,0,4
frame_131,131,24,10,9,0,5
frame_132,132,25,10,9,1,5
frame_133,133,28,13,9,2,4
frame_134,134,21,11,6,1,3
frame_135,135,26,9,9,2,6
frame_136,136,26,11,7,2,6
frame_137,137,22,8,7,1,6
frame_138,138,25,9,10,1,5
frame_139,139,24,9,8,2,5
frame_140,140,28,12,10,1,5
frame_141,141,30,13,10,3,4
frame_142,142,25,10,8,2,5
frame_143,143,28,12,8,4,4
frame_144,144,36,14,11,3,8
frame_145,145,30,12,11,4,3
frame_146,146,32,13,12,3,4
frame_147,147,34,15,12,3,4
frame_148,148,31,13,11,4,3
frame_149,149,33,14,10,4,5
frame_150,150,35,16,11,4,4
frame_151,151,32,15,10,4,3
frame_152,152,33,13,12,3,5
frame_153,153,29,12,10,4,3
frame_154,154,34,13,10,4,7
frame_155,155,31,11,10,4,6
frame_156,156,29,11,9,2,7
frame_157,157,29,8,10,3,8
frame_158,158,30,8,11,3,8
frame_159,159,35,12,11,5,7
frame_160,160,29,8,11,4,6
frame_161,161,27,10,9,3,5
frame_162,162,26,8,9,5,4
frame_163,163,32,9,9,6,8
frame_164,164,31,9,10,4,8
frame_165,165,26,7,9,3,7
frame_166,166,37,11,11,6,9
frame_167,167,29,10,11,4,4
frame_168,168,30,10,11,5,4
frame_169,169,27,9,10,5,3
frame_170,170,28,10,12,4,2
frame_171,171,26,10,13,3,0
frame_172,172,26,8,12,4,2
frame_173,173,28,9,13,4,2
frame_174,174,25,9,12,4,0
frame_175,175,27,9,13,3,2
frame_176,176,21,8,10,3,0
frame_177,177,22,8,10,4,0
frame_178,178,23,10,11,2,0
frame_179,179,20,6,11,3,0
frame_180,180,26,10,12,3,1
frame_181,181,23,9,11,2,1
frame_182,182,24,9,11,3,1
frame_183,183,22,7,12,2,1
frame_184,184,24,6,12,3,3
frame_185,185,24,5,11,3,5
frame_186,186,21,5,9,3,4
frame_187,187,24,7,11,3,3
frame_188,188,21,5,11,2,3
frame_189,189,17,5,8,1,3
frame_190,190,21,5,12,1,3
frame_191,191,22,5,12,1,4
frame_192,192,16,6,7,1,2
frame_193,193,16,6,8,1,1
frame_194,194,16,6,8,1,1
frame_195,195,16,6,9,1,0
frame_196,196,18,6,9,3,0
frame_197,197,16,6,8,2,0
frame_198,198,17,6,9,2,0
frame_199,199,16,6,8,2,0
frame_200,200,17,5,9,3,0
frame_201,201,15,5,8,2,0
frame_202,202,20,6,11,3,0
frame_203,203,18,7,7,4,0
frame_204,204,18,7,8,3,0
frame_205,205,15,6,6,3,0
frame_206,206,16,8,6,2,0
frame_207,207,16,7,6,3,0
frame_208,208,16,8,5,3,0
frame_209,209,21,10,6,4,1
frame_210,210,20,10,6,4,0
frame_211,211,21,11,6,4,0
frame_212,212,18,9,5,4,0
frame_213,213,16,9,4,3,0
frame_214,214,19,10,5,4,0
frame_215,215,21,11,7,3,0
frame_216,216,16,9,3,2,2
frame_217,217,19,9,4,4,2
frame_218,218,18,7,7,2,2
