Frame,Flat,Construction,Object,Nature,Sky,Human,Vehicle
frame_0000,0.2182,0.2329,0.0108,0.1926,0.1369,0.2074,0.0012
frame_0001,0.2148,0.2380,0.0095,0.1992,0.1393,0.1957,0.0034
frame_0002,0.2218,0.2544,0.0097,0.2206,0.1413,0.1343,0.0179
frame_0003,0.2545,0.2502,0.0086,0.2416,0.1389,0.0910,0.0152
frame_0004,0.2605,0.2532,0.0105,0.2574,0.1352,0.0796,0.0036
frame_0005,0.2603,0.2524,0.0097,0.2639,0.1323,0.0692,0.0122
frame_0006,0.2497,0.2579,0.0088,0.2636,0.1284,0.0788,0.0128
frame_0007,0.1846,0.3208,0.0103,0.2637,0.1257,0.0860,0.0089
frame_0008,0.2492,0.2546,0.0099,0.2734,0.1203,0.0821,0.0105
frame_0009,0.2489,0.2481,0.0107,0.2773,0.1163,0.0858,0.0128
frame_0010,0.2417,0.2486,0.0116,0.2851,0.1127,0.0946,0.0058
frame_0011,0.1646,0.3277,0.0066,0.2841,0.1109,0.1021,0.0040
frame_0012,0.2438,0.2536,0.0058,0.2824,0.1074,0.0975,0.0096
frame_0013,0.2501,0.2457,0.0086,0.2843,0.1054,0.1006,0.0053
frame_0014,0.2582,0.2440,0.0089,0.2899,0.1043,0.0939,0.0008
frame_0015,0.2468,0.2403,0.0060,0.2894,0.1033,0.1124,0.0019
frame_0016,0.2268,0.2503,0.0037,0.2966,0.1023,0.1137,0.0067
frame_0017,0.2304,0.2422,0.0059,0.3026,0.1022,0.1099,0.0067
frame_0018,0.2282,0.2428,0.0074,0.3050,0.1012,0.1111,0.0044
frame_0019,0.2418,0.2387,0.0052,0.2963,0.1009,0.1093,0.0078
frame_0020,0.2503,0.2372,0.0052,0.2978,0.1003,0.1010,0.0083
frame_0021,0.2392,0.2375,0.0036,0.3111,0.1001,0.1031,0.0053
frame_0022,0.2491,0.2407,0.0069,0.3069,0.1002,0.0927,0.0037
frame_0023,0.2449,0.2496,0.0032,0.3084,0.1002,0.0927,0.0010
frame_0024,0.2570,0.2415,0.0030,0.3074,0.1009,0.0888,0.0015
frame_0025,0.2582,0.2441,0.0042,0.3077,0.1010,0.0842,0.0006
frame_0026,0.2499,0.2521,0.0047,0.3131,0.0997,0.0795,0.0008
frame_0027,0.2625,0.2405,0.0040,0.3129,0.0997,0.0798,0.0007
frame_0028,0.2714,0.2372,0.0048,0.3100,0.0991,0.0769,0.0006
frame_0029,0.2630,0.2440,0.0037,0.3137,0.0990,0.0743,0.0023
frame_0030,0.2757,0.2297,0.0042,0.3182,0.0988,0.0684,0.0050
frame_0031,0.2794,0.2351,0.0044,0.3146,0.0989,0.0657,0.0020
