Frame,GreenViewIndex
frame_0000,0.1926
frame_0001,0.1992
frame_0002,0.2206
frame_0003,0.2416
frame_0004,0.2574
frame_0005,0.2639
frame_0006,0.2636
frame_0007,0.2637
frame_0008,0.2734
frame_0009,0.2773
frame_0010,0.2851
frame_0011,0.2841
frame_0012,0.2824
frame_0013,0.2843
frame_0014,0.2899
frame_0015,0.2894
frame_0016,0.2966
frame_0017,0.3026
frame_0018,0.3050
frame_0019,0.2963
frame_0020,0.2978
frame_0021,0.3111
frame_0022,0.3069
frame_0023,0.3084
frame_0024,0.3074
frame_0025,0.3077
frame_0026,0.3131
frame_0027,0.3129
frame_0028,0.3100
frame_0029,0.3137
frame_0030,0.3182
frame_0031,0.3146
frame_0032,0.3119
frame_0033,0.3162
frame_0034,0.3102
frame_0035,0.3157
frame_0036,0.3111
frame_0037,0.3145
frame_0038,0.3065
frame_0039,0.3072
frame_0040,0.3040
frame_0041,0.3027
frame_0042,0.3004
frame_0043,0.3019
frame_0044,0.3026
frame_0045,0.2994
frame_0046,0.2968
frame_0047,0.2937
frame_0048,0.2933
frame_0049,0.2944
frame_0050,0.2947
frame_0051,0.2943
frame_0052,0.2921
frame_0053,0.2930
frame_0054,0.2906
frame_0055,0.2885
frame_0056,0.2873
frame_0057,0.2769
frame_0058,0.2789
frame_0059,0.2766
frame_0060,0.2671
frame_0061,0.2607
frame_0062,0.2594
frame_0063,0.2590
frame_0064,0.2548
frame_0065,0.2509
frame_0066,0.2484
frame_0067,0.2477
frame_0068,0.2454
frame_0069,0.2427
frame_0070,0.2383
frame_0071,0.2373
frame_0072,0.2343
frame_0073,0.2355
frame_0074,0.2368
frame_0075,0.2334
frame_0076,0.2328
frame_0077,0.2365
frame_0078,0.2392
frame_0079,0.2342
frame_0080,0.2333
frame_0081,0.2304
frame_0082,0.2322
frame_0083,0.2269
frame_0084,0.2321
frame_0085,0.2323
frame_0086,0.2319
frame_0087,0.2215
frame_0088,0.2265
frame_0089,0.2387
frame_0090,0.2363
frame_0091,0.2319
frame_0092,0.2235
frame_0093,0.2292
frame_0094,0.2256
frame_0095,0.2224
frame_0096,0.2211
frame_0097,0.2129
frame_0098,0.2185
frame_0099,0.2151
frame_0100,0.2149
frame_0101,0.2061
frame_0102,0.2116
frame_0103,0.2097
